Country Code,Year,Inflation
ABW,1960,
ABW,1961,
ABW,1962,
ABW,1963,
ABW,1964,
ABW,1965,
ABW,1966,
ABW,1967,
ABW,1968,
ABW,1969,
ABW,1970,
ABW,1971,
ABW,1972,
ABW,1973,
ABW,1974,
ABW,1975,
ABW,1976,
ABW,1977,
ABW,1978,
ABW,1979,
ABW,1980,
ABW,1981,
ABW,1982,
ABW,1983,
ABW,1984,
ABW,1985,
ABW,1986,
ABW,1987,3.5919700665287166
ABW,1988,3.1084391879842315
ABW,1989,3.962543013589695
ABW,1990,5.769869907844225
ABW,1991,5.614859828071616
ABW,1992,3.8223351167833215
ABW,1993,5.300314057652429
ABW,1994,6.287975361268948
ABW,1995,3.3758374912745666
ABW,1996,3.2594864230355682
ABW,1997,3.7042377527197345
ABW,1998,6.592950501842282
ABW,1999,2.190060660924928
ABW,2000,1.0361008026952447
ABW,2001,-2.835502412530815
ABW,2002,4.434688133420224
ABW,2003,3.0490462011099737
ABW,2004,2.809909708930533
ABW,2005,5.067497229686694
ABW,2006,3.4843461954361317
ABW,2007,5.16689296887391
ABW,2008,4.262449001765887
ABW,2009,1.7032804481383863
ABW,2010,-1.2234065506842455
ABW,2011,4.005674214028815
ABW,2012,0.18403270134612626
ABW,2013,-1.99594849465619
ABW,2014,3.9588974101928187
ABW,2015,6.8312869361569994
ABW,2016,-1.0027996970366218
ABW,2017,-3.1781667983355533
ABW,2018,3.462029532114272
ABW,2019,6.017816117923132
ABW,2020,-0.9514730423270379
ABW,2021,-4.912624903900138
ABW,2022,3.157279393639726
ABW,2023,6.709461176760641
AFE,1960,
AFE,1961,1.933946545733221
AFE,1962,0.5966071816124483
AFE,1963,3.150052774338043
AFE,1964,3.7269776219936546
AFE,1965,2.9628261093650394
AFE,1966,3.444518109949634
AFE,1967,1.7793841509496957
AFE,1968,3.2270942578246533
AFE,1969,4.6606928407415396
AFE,1970,4.937523593030704
AFE,1971,3.27935307157383
AFE,1972,9.814576034843398
AFE,1973,12.224474898429307
AFE,1974,15.128346120431367
AFE,1975,11.884430878283972
AFE,1976,9.530632468515854
AFE,1977,10.40810118196444
AFE,1978,10.540289734601778
AFE,1979,14.571237401167501
AFE,1980,19.205294760332116
AFE,1981,10.858488369129546
AFE,1982,7.697471778128978
AFE,1983,11.556841716985716
AFE,1984,12.73475577168854
AFE,1985,16.14433126055718
AFE,1986,13.91657690855233
AFE,1987,12.694069824178754
AFE,1988,20.152601266539236
AFE,1989,14.839283913610288
AFE,1990,11.99390390750807
AFE,1991,14.978936424674856
AFE,1992,14.640655210188406
AFE,1993,13.87050259137493
AFE,1994,17.01641478725419
AFE,1995,16.102711742496226
AFE,1996,15.176180335890493
AFE,1997,10.54504865514589
AFE,1998,9.109172939018066
AFE,1999,8.006813296561788
AFE,2000,11.11730588248625
AFE,2001,8.312824999512983
AFE,2002,8.914928256749931
AFE,2003,7.806740872975098
AFE,2004,9.60039256006742
AFE,2005,7.623689358782684
AFE,2006,7.652254305265288
AFE,2007,8.245764766116736
AFE,2008,10.961412407555954
AFE,2009,8.281432391192432
AFE,2010,5.883022034869526
AFE,2011,9.745709985237717
AFE,2012,6.203877876257806
AFE,2013,5.546266986644348
AFE,2014,5.403535382974994
AFE,2015,5.636280101562221
AFE,2016,6.73515766010987
AFE,2017,6.286464671240971
AFE,2018,4.321758677700785
AFE,2019,4.444379464941157
AFE,2020,5.298132261081065
AFE,2021,6.22269912307469
AFE,2022,9.358767323578618
AFE,2023,7.801229890573289
AFG,1960,
AFG,1961,
AFG,1962,
AFG,1963,
AFG,1964,
AFG,1965,
AFG,1966,
AFG,1967,
AFG,1968,
AFG,1969,
AFG,1970,
AFG,1971,
AFG,1972,
AFG,1973,
AFG,1974,
AFG,1975,
AFG,1976,
AFG,1977,
AFG,1978,
AFG,1979,
AFG,1980,
AFG,1981,
AFG,1982,
AFG,1983,
AFG,1984,
AFG,1985,
AFG,1986,
AFG,1987,
AFG,1988,
AFG,1989,
AFG,1990,
AFG,1991,
AFG,1992,
AFG,1993,
AFG,1994,
AFG,1995,
AFG,1996,
AFG,1997,
AFG,1998,
AFG,1999,
AFG,2000,
AFG,2001,-11.774536031921357
AFG,2002,6.1255220291016315
AFG,2003,11.655238221181037
AFG,2004,11.271432057214852
AFG,2005,10.912773550304806
AFG,2006,7.199751292923878
AFG,2007,22.52775620070291
AFG,2008,2.0962887504212517
AFG,2009,-2.1634044274614297
AFG,2010,3.8146303154521064
AFG,2011,16.5933467401627
AFG,2012,7.301756467604321
AFG,2013,4.822785478769859
AFG,2014,0.5669445425326103
AFG,2015,2.4475630014740375
AFG,2016,-2.1975264673346118
AFG,2017,2.403656187657461
AFG,2018,2.0713485778348684
AFG,2019,6.521479848325313
AFG,2020,6.962946255256398
AFG,2021,2.8389962508104105
AFG,2022,9.406239339313217
AFG,2023,2.9616535410169007
AFW,1960,
AFW,1961,3.278445997779599
AFW,1962,2.485955506593676
AFW,1963,2.7814791463603115
AFW,1964,3.3810605811513383
AFW,1965,2.405026088434184
AFW,1966,4.138752531223858
AFW,1967,1.2277518339989086
AFW,1968,1.6279493352934793
AFW,1969,4.213958542384887
AFW,1970,3.3506517613349587
AFW,1971,4.189196487686466
AFW,1972,5.1458107687568315
AFW,1973,7.618597935144251
AFW,1974,13.422590521284484
AFW,1975,8.586807530818241
AFW,1976,11.31976432848743
AFW,1977,10.871987992400257
AFW,1978,6.616494662824735
AFW,1979,10.76178867457159
AFW,1980,11.001281118452695
AFW,1981,10.010020942035446
AFW,1982,13.820559046017095
