Country Code,Year,Inflation,Population,GDP,Export,Import
SEN,1991,-0.06538774463679739,-0.2113775780399573,-0.20964191418340938,-0.43326946174553443,-0.9147361094302088
SEN,1992,-0.061031163744163036,-0.20973523685050025,-0.2092419133230907,-0.44172001640621905,-0.9688869983238892
SEN,1993,-0.062294157665812894,-0.2080740675251754,-0.20955425433185085,-0.4314077610780543,-0.9484172688284694
SEN,1994,0.024858195316147146,-0.2064136489927249,-0.21136798899510278,-0.40614375974886924,-0.9736167759027029
SEN,1995,-0.039895323379224044,-0.2047806890695713,-0.2103639169274645,-0.34524796829704457,-0.8335492068350318
SEN,1996,-0.05343915273573958,-0.20318497722008566,-0.21018252035376753,-0.34684986575921867,-0.8244745974321673
SEN,1997,-0.05609279017375061,-0.20160699282953554,-0.21058533973370241,-0.37195228606920566,-0.8631055260869038
SEN,1998,-0.05767357226594714,-0.20000731562739327,-0.21022457523007676,-0.3529535809173357,-0.8172408264493717
SEN,1999,-0.058547028305548046,-0.19834584015351775,-0.21015677424907744,-0.33505714036924783,-0.7603161901168467
SEN,2000,-0.058799548357946985,-0.19661556872675023,-0.21060733225414308,-0.3672965733138959,-0.7799725115546391
SEN,2001,-0.05285550359340726,-0.19483202016291049,-0.21022285203285512,-0.34232425656803717,-0.7124311835713079
SEN,2002,-0.05454447006859632,-0.19298585693120232,-0.20983531109078934,-0.3230496841318651,-0.6255344618912565
SEN,2003,-0.060877571600711,-0.19112737486495426,-0.2084654721533404,-0.26582829702873884,-0.4605412165023726
SEN,2004,-0.05937526156241431,-0.18927205633373007,-0.20744869859584691,-0.1899346676964037,-0.28971178918605905
SEN,2005,-0.05620366926001448,-0.18737854212618102,-0.2067240927469001,-0.16912264708963654,-0.03871441916524016
SEN,2006,-0.05514090000944826,-0.185449645893273,-0.20618862720459516,-0.16434466129222586,0.027331663266295447
SEN,2007,-0.045224916009626845,-0.1834797257545718,-0.20440372847150923,-0.14029391000350672,0.4848349004724061
SEN,2008,-0.04126517358017299,-0.18144883102952375,-0.20218084747162549,0.00928038663732986,1.116059930420828
SEN,2009,-0.06669837779740535,-0.17934639230387864,-0.20273126605970762,-0.03682649893106412,0.4244291013280099
SEN,2010,-0.05748299204115228,-0.17717402050215325,-0.20275034984286391,0.006463588388164692,0.45085675796201224
SEN,2011,-0.05171911394925882,-0.17481606436469677,-0.20143441737184528,0.1210801349942839,0.8802626260268765
SEN,2012,-0.05698057534538607,-0.17225317821880567,-0.2015536644456819,0.11805643636388939,1.0804677188356269
SEN,2013,-0.05885716334771198,-0.16933489734106438,-0.20057598702333843,0.15700402282341339,1.1254276253570066
SEN,2014,-0.06362958963064393,-0.16611849337820658,-0.19989306823475136,0.18386318077491473,1.1264635260078186
SEN,2015,-0.06038135350981714,-0.16290226435737776,-0.2014651336269158,0.14215175001413455,0.7607559068591557
SEN,2016,-0.058520431190442375,-0.15968631961734597,-0.200481433484524,0.15076656516077871,0.7159954983453197
SEN,2017,-0.057245836717071716,-0.15647554295642,-0.19896085299517732,0.2558024697280833,1.192692496210494
SEN,2018,-0.05951785418977331,-0.15327194620793297,-0.19731288346009773,0.4468017376689807,1.7044452572372413
SEN,2019,-0.056074377093457896,-0.15007616353673986,-0.19708957142034664,0.6140303377949362,1.7320094311135823
SEN,2020,-0.05399885512972816,-0.1468958851028641,-0.1962139372703231,0.5389935237016663,1.605750399780966
SEN,2021,-0.05496056055399823,-0.14374949439784987,-0.19388961959029216,0.9223352562692416,2.324770084186007
SGP,1980,-0.03813813976618781,-0.2516808684588227,-0.20603445998676476,-0.6010479392043492,-1.1994512322162634
SGP,1981,-0.03905239170280988,-0.25081424938281827,-0.2042630302768142,-0.5974864329197033,-1.1738632979619954
SGP,1982,-0.05035919558136911,-0.2499859644789117,-0.2027791590768142,-0.5978875498214753,-1.169590865955808
SGP,1983,-0.057568528389775005,-0.24973379283340433,-0.20145786946865157,-0.59555064688987,-1.1696576227490554
SGP,1984,-0.053845548133570814,-0.24936087474165242,-0.19993029463146525,-0.5905450750993086,-1.1660039468231207
