Country Code,Year,Inflation,Population,GDP,Export,Import
ABW,1980,,59909.0,,,
ABW,1981,,60563.0,,,
ABW,1982,,61276.0,,,
ABW,1983,,62228.0,,,
ABW,1984,,62901.0,,,
ABW,1985,,61728.0,,,
ABW,1986,,59931.0,405586592.17877096,105.0227080669,47.4326692655
ABW,1987,3.5919700665287166,59159.0,487709497.2067039,115.5036515338,58.3646750583
ABW,1988,3.1084391879842315,59331.0,596648044.6927375,135.0664273764,83.1509743506
ABW,1989,3.962543013589695,60443.0,695530726.2569833,101.3492672366,95.5619217108
ABW,1990,5.769869907844225,62753.0,764804469.273743,123.596991199,132.571550693
ABW,1991,5.614859828071616,65896.0,872067039.1061453,113.7089664254,118.9001782787
ABW,1992,3.8223351167833215,69005.0,958659217.877095,38.2328993577,122.6065546363
ABW,1993,5.300314057652429,73685.0,1083240223.4636872,54.618427655,131.0110362156
ABW,1994,6.287975361268948,77595.0,1245810055.8659215,52.017550141,134.7188957237
ABW,1995,3.3758374912745666,79805.0,1320670391.0614524,408.6593966663,127.7008551758
ABW,1996,3.259486423035568,83021.0,1379888268.1564243,525.7409795016,162.7290183815
ABW,1997,3.704237752719735,86301.0,1531843575.4189944,523.1823215149,169.2163491405
ABW,1998,6.592950501842282,88451.0,1665363128.49162,353.3295922177,121.4145015498
ABW,1999,2.190060660924928,89659.0,1722905027.9329607,421.4705838311,159.4317297701
ABW,2000,1.0361008026952447,90588.0,1873452513.9664805,765.4801086572,206.4605391594
ABW,2001,-2.835502412530815,91439.0,1896456983.2402236,735.0273763321,189.679228355
ABW,2002,4.434688133420224,92074.0,1961843575.4189944,451.3129996311,161.3216186118
ABW,2003,3.0490462011099737,93128.0,2044111731.8435757,622.4027422578,191.7344254844
ABW,2004,2.809909708930533,95138.0,2254830726.2569838,1041.8567332726,287.0431729563
ABW,2005,5.067497229686694,97635.0,2360017318.435754,1339.6026269054,342.9094580465
ABW,2006,3.484346195436132,99405.0,2469782681.5642457,1430.5534407254,377.7052938916
ABW,2007,5.16689296887391,100150.0,2677641340.782123,1579.2568214501,409.9767992818
ABW,2008,4.262449001765887,100917.0,2843024581.0055866,1655.0743935901,480.7345062109
ABW,2009,1.7032804481383863,101604.0,2553793296.089385,592.0519315423,195.8314639347
ABW,2010,-1.2234065506842455,101838.0,2453597206.7039104,80.2744823208,111.5047861077
ABW,2011,4.005674214028815,102591.0,2637859217.8770947,1571.3260433509,473.1927853598
ABW,2012,0.1840327013461262,104110.0,2615208379.888268,421.3349915837,163.5913086482
ABW,2013,-1.99594849465619,105675.0,2727849720.670391,84.6465351277,110.0974015334
ABW,2014,3.9588974101928183,106807.0,2790849720.670391,78.5460998079,107.9527923732
ABW,2015,6.831286936157,107906.0,2962907262.5698323,100.0,100.0
ABW,2016,-1.0027996970366218,108727.0,2983635195.5307264,86.1547328754,91.0374434848
ABW,2017,-3.1781667983355533,108735.0,3092429050.27933,40.8293267454,89.8930014787
ABW,2018,3.462029532114272,108908.0,3276184357.541899,58.8712784219,98.5255811985
ABW,2019,6.017816117923132,109203.0,3395798882.6815643,39.6035369235,96.4168008286
ABW,2020,-0.951473042327038,108587.0,2481857122.8401003,26.4868882053,68.8589409242
ABW,2021,-4.912624903900138,107700.0,2929446578.2510448,38.7390229483,84.2328519794
AFG,1980,,13169311.0,,87.0595847606,23.2794187703
AFG,1981,,11937581.0,,90.1822626748,24.5362692937
AFG,1982,,10991378.0,,91.9163620942,26.6264062022
AFG,1983,,10917982.0,,94.6415610285,29.4640092693
AFG,1984,,11190221.0,,82.2106011244,38.4668240869
AFG,1985,,11426852.0,,73.6284326707,33.0601520874
AFG,1986,,11420074.0,,71.6890990013,38.8543991491
AFG,1987,,11387818.0,,66.4880996926,27.5704282976
AFG,1988,,11523298.0,,51.2630964304,24.9238443558
AFG,1989,,11874088.0,,30.6474470286,22.7465030712
AFG,1990,,12045660.0,,30.5383351678,25.9121607444
AFG,1991,,12238879.0,,24.4202765184,17.0533023684
AFG,1992,,13278974.0,,17.0162565136,11.3780962235
AFG,1993,,14943172.0,,13.7688793171,11.5995676822
AFG,1994,,16250794.0,,21.8223747655,10.3814746558
AFG,1995,,17065836.0,,29.0616987822,5.011093681
AFG,1996,,17763266.0,,22.4457258853,8.5589998006
AFG,1997,,18452091.0,,25.2656172082,7.8209317397
AFG,1998,,19159996.0,,27.8655244605,5.983349443
AFG,1999,,19887785.0,,29.0933750905,13.1078298015
AFG,2000,,20130327.0,3521418059.923445,24.0305912599,15.226162829
AFG,2001,-11.774536031921356,20284307.0,2813571753.8725324,11.9004908932,21.9607619631
AFG,2002,6.125522029101632,21378117.0,3825701438.999633,17.5007219036,31.7498752121
AFG,2003,11.655238221181037,22733049.0,4520946818.545814,25.201039536,27.2049297707
AFG,2004,11.271432057214852,23560654.0,5224896718.67782,53.3772018025,28.1890205185
AFG,2005,10.912773550304806,24404567.0,6203256538.709669,67.20277212,31.992531265
AFG,2006,7.199751292923878,25424094.0,6971758282.293506,72.803003128,35.5333156835
AFG,2007,22.52775620070291,25909852.0,9747886187.393929,79.453277447,39.1305558207
AFG,2008,2.096288750421252,26482622.0,10109297047.543194,94.5154487499,39.1028458944
AFG,2009,-2.1634044274614297,27466101.0,12416152732.056717,70.6050874643,43.2020370598
AFG,2010,3.8146303154521055,28284089.0,15856668555.833595,67.9875044866,66.7401281771
AFG,2011,16.5933467401627,29347708.0,17805098206.314083,65.7766382808,84.3598845785
AFG,2012,7.301756467604321,30560034.0,19907329777.58717,75.0611212622,117.430513149
AFG,2013,4.822785478769859,31622704.0,20146416757.598675,90.1238176095,110.7673512273
AFG,2014,0.5669445425326103,32792523.0,20497128555.69723,99.8300692119,100.0816250227
AFG,2015,2.447563001474037,33831764.0,19134221644.73249,100.0,100.0
AFG,2016,-2.197526467334612,34700612.0,18116572395.077213,104.3839308258,84.6077200543
AFG,2017,2.403656187657461,35688935.0,18753456497.815865,126.5302193594,91.4815939352
AFG,2018,2.0713485778348684,36743039.0,18053222687.412624,153.1663181047,95.9035280293
AFG,2019,6.521479848325313,37856121.0,18799444490.11278,151.1770110426,87.7495778951
AFG,2020,6.962946255256398,39068979.0,19955929052.1496,135.9345822856,84.6530296586
AFG,2021,2.8389962508104105,40000412.0,14259995441.075909,181.4824861284,72.1752872767
AGO,1980,,8133872.0,5930503400.962631,5.7313616511,6.4168739635
AGO,1981,-2.1003061669614027,8435607.0,5550483035.964972,5.6493869874,8.1126571283
AGO,1982,0.0,8751648.0,5550483035.964972,4.9095966027,5.716025271
AGO,1983,0.0127635583866378,9082983.0,5784341596.363394,5.4921779555,4.7527208252
AGO,1984,0.0011881098994876,9425917.0,6131475065.178155,6.12720067,6.0707997125
AGO,1985,19.0352057407944,9779120.0,7554065410.120997,6.9349182223,6.771648405
AGO,1986,-9.01306191994358,10139450.0,7072536108.697105,4.0566709792,5.2491150376
AGO,1987,9.823311349966303,10497858.0,8084412414.26566,6.9982095211,6.2979713576
AGO,1988,2.21377444948736,10861291.0,8769836768.834816,7.5105676685,6.6314786671
AGO,1989,16.27966268538374,11238562.0,10201780976.669563,9.0838085706,6.4671417313
AGO,1990,14.007439827259248,11626360.0,11229515599.304768,11.7055753487,7.628133843
AGO,1991,106.30998226847836,12023529.0,10603784541.19696,10.3957468133,6.511609373
AGO,1992,476.51575086326034,12423712.0,8307810973.588479,11.5515665186,9.6090222549
AGO,1993,917.7834684117636,12827135.0,5768720421.613673,8.74173416,7.0693882632
AGO,1994,2175.978955087593,13249764.0,4438321017.390678,9.0916446363,7.0283040307
AGO,1995,1825.495149007312,13699778.0,5538749259.94714,10.9761179768,7.0943451545
AGO,1996,4800.531644157435,14170973.0,7526446605.517117,15.3551128754,9.8586267827
AGO,1997,95.45302217911292,14660413.0,7648377412.832772,15.0891785941,12.5504185069
AGO,1998,39.35934832526931,15159370.0,6506229607.294324,10.6773638372,10.047100529
AGO,1999,557.5011130912153,15667235.0,6152923310.4454565,15.5405495969,15.0247405166
AGO,2000,418.0189915340991,16194869.0,9129594970.153011,23.8720017831,14.6912869698
AGO,2001,106.35212550145091,16747208.0,8936079117.731356,19.6919151185,15.3630267328
AGO,2002,196.98409939993135,17327699.0,15285592370.37398,25.0986025514,18.1708023009
AGO,2003,93.9265669067308,17943712.0,17812704586.43969,28.6548406775,26.482977828
AGO,2004,33.443594790025514,18600423.0,23552057679.499435,40.6104310053,28.1840742186
AGO,2005,42.37424926172838,19291161.0,36970900883.810905,72.658766686,40.3672105395
AGO,2006,17.115665144854162,20015279.0,52381025141.42681,96.0250593522,42.4191580605
AGO,2007,4.308432212071821,20778561.0,65266415494.25839,133.7995411625,66.0189708207
AGO,2008,19.365773555832572,21578655.0,88538665084.86345,192.6215278433,101.3988760498
AGO,2009,-16.762140290159223,22414773.0,70307196181.65387,123.0455373736,109.5075965861
AGO,2010,32.27046912244123,23294825.0,83799474069.73146,152.4809421872,80.5453190937
AGO,2011,31.77146015589864,24218352.0,111789747670.5905,202.8571646966,97.7569833303
