Country,Component 1,Component 2,Component 3,Cluster
BDI,-0.43104955077239915,-1.3560933678624183,0.07479651619099797,3
BFA,-0.2248149772549942,1.4799854269286399,-0.062205259677659226,5
BGD,-1.2672157905478754,-1.064003238591546,0.4820752205997876,6
BHR,0.7194904401740767,0.3706823652039509,-0.5514435633321654,0
BHS,-0.5755555493355615,0.012794657050846679,-0.5358182043655033,0
BLZ,-1.0099054320559444,-1.2339746288271822,0.3586649257343089,6
BOL,-1.7724939262019765,-0.13367389799247084,0.7369001718210118,1
BRA,-0.3519122107508175,-1.094968643521137,-0.200306298769999,3
BRB,-0.2901027845938498,-1.386004139876941,0.05577939304146895,3
BRN,0.5084990527459716,-1.2963268321718562,-0.048274842282318015,3
BTN,-0.026378086980196173,-0.3753494491704492,-0.6016806716262844,0
BWA,0.5411028162979349,0.5250205218198725,-0.5704242877497956,0
CAF,-0.19335979911825021,1.1273376282778642,-0.34589610036519003,5
CHL,-0.5652593768126368,1.0612121058581212,-0.272892774749176,5
CHN,2.060341448600909,0.000649551444705483,0.8537805680434848,2
CIV,-0.5802830187575851,1.7154149002049879,0.4006913125268296,5
CMR,-0.8786440618773949,1.6462900572964865,0.5701036548143781,5
COD,1.8297351412670515,0.018770399049514563,0.2989639616824375,2
COL,-0.1331605086595175,0.9645315012257552,-0.4452996325393214,5
CPV,-0.19869293914551542,-1.4130704826891662,0.061205983008457754,3
CRI,-0.0531402550075819,-1.3297302170430199,-0.057257097454259394,3
DMA,-0.12847856274924793,-0.08911914776336874,-0.6389269988378322,0
DOM,0.9404478065647262,0.32841035447886674,-0.4726692428291589,0
DZA,-0.484644707849462,0.8330768766497435,-0.419568949525833,5
ECU,0.49791780033308847,1.5116880745771097,-0.022239689574692235,4
EGY,-0.8307199664136952,1.1187369835787728,-0.09193083404095462,5
FJI,-0.8226096788596043,-1.296037103404381,0.2519307356504445,6
GAB,0.11127976599978111,0.01858971763166662,-0.6616400614061201,0
GHA,1.7238650535884823,0.7414081590554616,0.33013653344616206,2
GMB,-0.5907386366859412,0.7563113361373172,-0.41035483971651154,5
GNQ,0.7051848075939601,1.1197151347387229,-0.27756481335072847,4
GRD,-0.937901011740808,-1.2911177842405854,0.35722923270409224,6
GTM,1.707209280443921,0.8258387162028905,0.36215242329342656,2
HKG,1.4199743716334368,-0.06743361763752073,-0.17596207884190174,2
HND,1.8365840495718908,0.07482989076911525,0.3077702213129211,2
HTI,-0.1183264951734131,-1.3891123460560693,0.016269876783674225,3
IND,1.8831594137873788,0.4245531580343839,0.4492174242338381,2
IRN,0.11162307826903246,-1.2727682917943703,-0.12360277363018644,3
JAM,-1.0623024770514415,0.05363940729541744,-0.27437916490578,1
JOR,-0.9480606842797952,1.1646377497258051,0.029982428419749532,5
KEN,-1.486966482364315,1.0008195446919153,0.5696733316764584,1
KNA,1.1369938020841706,-0.2675364171055792,-0.3480107695568161,2
KOR,0.6430260938368277,1.710346582743256,0.28137240385706835,4
KWT,1.6808031094025544,-0.3355951222789551,0.15991134127981155,2
LBY,1.6838776965805877,-0.8839994587781406,0.5595176780407619,2
LCA,-0.777943029108039,-0.4429599302074054,-0.3667887466337392,6
LKA,-0.2287079121981779,-1.2031177275828038,-0.14491963293412977,3
LSO,0.8294199405165278,-0.9032053032121525,-0.24604721814557337,3
MAR,-0.33964953443194007,1.553206317843799,0.04992273463175778,5
