Country,Component 1,Component 2,Component 3,cluster
BDI,-0.19209966235591605,-1.6345749914241512,0.016702897771837685,6
BFA,0.9258178714497736,1.6825255297951196,0.16494672751661715,2
BGD,0.8688595296936847,-2.065378098400298,0.8974547437062423,4
BHR,-0.49920339233928906,0.794917344243067,-0.6418791108518339,2
BHS,0.7021262482461286,-0.32968259548805684,-0.5231717711913539,3
BLZ,0.5464157018076714,-1.9270369477691005,0.5483945327085292,4
BOL,2.4299104683044104,-1.0370896708494668,0.14544554177920913,0
BRA,-0.06219927945726729,-1.2895732688552848,-0.24705305981529113,6
BRB,-0.33057748101693807,-1.6156849463905198,0.03620997626268206,6
BRN,-1.2146943331872875,-1.3976675926450977,0.1114577673035191,6
BTN,0.15273791989209695,-0.41108890557583666,-0.8829551197207002,3
BWA,-0.27180186607915535,0.8168018770179865,-0.617528105566247,2
CAF,0.675165680980802,1.3902761832152228,-0.2831324772956335,2
CHL,1.1415833345703421,1.3820392372000998,-0.018060161762913595,2
CHN,-2.9426359088840375,0.5486395258062803,0.11321911435145637,5
CIV,1.5292012346460104,1.812701046891474,0.539027179354953,0
CMR,1.875721332718798,1.5724777633586395,0.8004485415369023,0
COD,-2.370221586710911,0.524277488882269,0.07956334790004731,5
COL,0.5122302324954209,1.2527909258246661,-0.4647380005567087,2
CPV,-0.444227620924814,-1.6612780695062248,0.08265452896982255,6
CRI,-0.5449111918668105,-1.5514755180850168,0.043999689719000146,6
DMA,0.16786579595407214,-0.15079758600305007,-0.7756632162813097,3
DOM,-0.7354522606656918,0.8290511904967814,-0.6861635983797695,2
DZA,0.934114287588566,1.199513858545428,-0.2277284435748272,2
ECU,0.2542092110585733,2.045725872258813,-0.05669349563553002,2
EGY,1.4572595409119629,1.0066946851431569,0.21030735573263848,0
FJI,0.33465653959586583,-1.808481123164987,0.4419267637935475,4
GAB,-0.02967473453746818,0.09806485675967772,-0.7612252103135061,3
GHA,-2.3463100515223694,1.4755979744172367,1.4190188466007154,5
GMB,1.0168442815693985,1.0731172741565185,-0.21743356739805839,2
GNQ,-0.0004283277332702151,1.4777809305273373,-0.49324249850718604,2
GRD,0.4289265635588043,-1.9494191843272342,0.5292668981629955,4
GTM,-2.2577356417023395,1.6291270857413076,1.5636972171947092,5
HKG,-1.7169436074227478,0.41513154447040723,-0.11646134715595174,1
HND,-2.425931243207512,0.5496102957629805,0.08821655775946445,5
HTI,-0.5079659896691464,-1.6087791244029037,0.06921061462825417,6
IND,-2.5531362181155943,0.9375416213496286,0.7364466679665488,5
IRN,-0.7377390360787798,-1.5582081516719268,0.11171389237525854,6
JAM,1.3335678670735434,-0.3288040944786261,-0.4543136601538064,3
JOR,1.60467189235157,0.9898334647013192,0.31453145144780953,0
KEN,2.3700607049591356,0.4929387209531054,0.5599128526019518,0
KNA,-1.322323620364551,0.2823103401077797,-0.13708510518678724,1
KOR,0.08024297120907592,2.3921248950336804,0.2133738888928712,2
KWT,-2.0794463219015937,0.2734490496318609,0.08447584947123822,1
LBY,-2.3363160939959386,-0.2732543305292583,0.15088313765924422,1
LCA,1.031330279426328,-0.882065144409193,-0.5051718620281733,3
LKA,-0.27828421845396834,-1.4051279246644242,-0.0789836768485168,6
LSO,-1.395261855536543,-0.7420016190119079,-0.01674586089138999,1
MAR,1.0919849377775699,1.7296608746009594,0.3507742729293844,2
MDG,-0.757487478872608,0.7384764453505144,-0.6382637515775149,2
MDV,0.6873621590321797,-1.42514308275163,0.0312672094516265,4
MEX,1.5811603633770157,0.296442225851256,-0.19448599194753688,0
MMR,-1.5915292454660985,0.341531999750609,-0.14038375385410315,1
MRT,-1.778524755306809,-0.7829391452283636,0.20953694138386555,1
MUS,0.9219321718489134,-1.2345785507545612,-0.18917243260103367,3
MWI,0.5666347853794211,1.4508870734271564,-0.34504476861537187,2
MYS,-0.43305991618644263,-2.0189417557010185,-0.06789721922855178,6
NER,-0.2752394902684429,-1.5750891034699304,0.004335418531366864,6
NGA,1.8542530628737357,-0.4710995517766765,-0.294587922108111,0
NPL,1.6875536227309966,-0.8859408202766097,-0.3776634425572379,3
PAK,1.4948399999253446,0.43646256335117684,-0.16866800180983377,0
PAN,0.996611706431193,-2.0385945783033645,0.959752445425456,4
PER,2.3418551083990486,0.44291905299439427,0.5347021479819314,0
PHL,3.394143039596021,-0.12036356229083466,1.4590880899325853,0
PNG,-2.546836152129901,0.4341216270448664,0.13973410346603635,5
PRY,-1.816080125590909,0.1129255094457442,0.053560459673617944,1
QAT,-0.2250044396740589,0.7346638993337832,-0.5943279264184246,2
RWA,1.5568763834941997,1.428897829573996,0.5641729287777503,0
SAU,1.7386643743157202,0.5683133467003431,0.11363435584675609,0
SEN,0.09948208422972135,0.9473573477797618,-0.6288269222541535,2
SGP,-0.6128209895582366,-1.5725165964394014,0.08988120776722355,6
SLB,0.11673893629684805,-1.2828399528736598,-0.27935970014560746,6
SLV,-0.21344361159440312,0.5386057885194431,-0.6120318079973184,2
SUR,-0.7398561847053935,-1.549777112489018,0.07276161747225197,6
SWZ,-3.3263060605773584,0.5943768732662842,0.050871884504484634,5
SYC,-0.1251053672287504,0.2805251752054418,-0.7458453346376388,3
SYR,-1.0009576097067587,-1.7052165598510516,0.20429645347977285,6
TCD,0.9813764066389795,1.6510170531070785,0.18062164300344996,2
TGO,1.3979836624621114,1.4029014223894571,0.4108353251770037,0
THA,-2.5080711151724553,0.6561326752127835,0.23852608104751646,5
TON,0.38474296888510984,-0.8583251842666997,-0.8099472338076804,3
TTO,0.3446116990688141,-0.9062509113747996,-0.8540292630380671,3
TUN,0.44668248330755717,1.1245890627616304,-0.692391988175362,2
TUR,2.30864085302404,-0.769332113769618,0.08123067446105652,0
TZA,-0.840001353051913,2.9385188384069982,0.43805129584099456,2
URY,-2.485646140457478,0.6138250144533721,0.16719285655213723,5
USA,1.82650595798411,0.2512374457060581,0.047333909763850504,0
VCT,0.6066645398733034,-1.3907908000024953,0.0200252801639116,4
VUT,0.1702303503026133,-0.4287775401037452,-0.8701604385949001,3
WSM,0.6353757670596344,-2.17271588044352,0.6787634765732972,4
ZAF,0.4842565400145774,1.3828703717620185,-0.42104220818048066,2
ZMB,-1.2191918751128539,-1.2256184084673947,-0.04389720571096193,6
